Id,Category,Name,Ingredients,Description
155,Beer,"Kirin Ichiban","Barley, Hops","Una cerveza lager japonesa con un sabor limpio y suave, elaborada con una única cocción."
156,Beer,"Sapporo Premium Light","Barley, Rice","Una versión ligera de la Sapporo Premium Beer, con un perfil de sabor suave y refrescante."
157,Beer,"Yebisu","Barley, Hops","Una cerveza premium japonesa con un sabor suave y maltoso, nombrada en honor al dios de la prosperidad en la mitología japonesa."
158,Beer,"New Belgium Brewing Company La Folie","Wood Aged","An American sour brown ale aged in oak barrels, offering tart cherry and red wine flavors."
159,Beer,"Lindemans Framboise","Raspberry","A Belgian lambic infused with raspberries, resulting in a sweet and tart fruit flavor."
160,Beer,"Brouwerij Boon Kriek Mariage Parfait","Cherry","A traditional Belgian kriek lambic made with sour cherries, boasting a balanced fruity taste."
161,Beer,"Brouwerij Rodenbach Alexander","Cherry","A Belgian sour ale aged in oak barrels and macerated with sour cherries, delivering a complex blend of sweet and tart notes."
162,Beer,"Dogfish Head Craft Brewery SeaQuench Ale","Lime, Black Lime, Sea Salt","A session sour ale brewed with lime peel, black lime, and sea salt, offering a refreshing citrusy and tart flavor profile."
163,Beer,"Founders Brewing Co. Rubaeus","Raspberry","A fruit beer brewed with fresh raspberries, imparting a bright and juicy raspberry character."
164,Beer,"Russian River Brewing Company Supplication","Sour Ale","An American wild ale aged in Pinot Noir barrels with sour cherries, exhibiting a complex blend of fruity and oak flavors."
165,Beer,"Goose Island Beer Co. Sofie","Wine Barrel Aged","A Belgian-style farmhouse ale aged in wine barrels with orange peel, boasting a fruity and vinous character."
166,Beer,"Victory Brewing Company Sour Monkey","Brettanomyces, Sour","A sour ale variation of Victory's Golden Monkey, featuring tart fruit flavors and funky Brettanomyces notes."
167,Beer,"The Bruery Terreux Frucht: Boysenberry","Boysenberry","A Berliner Weisse-style ale brewed with boysenberries, offering a vibrant and refreshing fruity taste."
158,Beer,"New Belgium Brewing Company La Folie","Wood Aged","An American sour brown ale aged in oak barrels, offering tart cherry and red wine flavors."
159,Beer,"Lindemans Framboise","Raspberry","A Belgian lambic infused with raspberries, resulting in a sweet and tart fruit flavor."
160,Beer,"Brouwerij Boon Kriek Mariage Parfait","Cherry","A traditional Belgian kriek lambic made with sour cherries, boasting a balanced fruity taste."
161,Beer,"Brouwerij Rodenbach Alexander","Cherry","A Belgian sour ale aged in oak barrels and macerated with sour cherries, delivering a complex blend of sweet and tart notes."
162,Beer,"Dogfish Head Craft Brewery SeaQuench Ale","Lime, Black Lime, Sea Salt","A session sour ale brewed with lime peel, black lime, and sea salt, offering a refreshing citrusy and tart flavor profile."
163,Beer,"Founders Brewing Co. Rubaeus","Raspberry","A fruit beer brewed with fresh raspberries, imparting a bright and juicy raspberry character."
164,Beer,"Russian River Brewing Company Supplication","Sour Ale","An American wild ale aged in Pinot Noir barrels with sour cherries, exhibiting a complex blend of fruity and oak flavors."
165,Beer,"Goose Island Beer Co. Sofie","Wine Barrel Aged","A Belgian-style farmhouse ale aged in wine barrels with orange peel, boasting a fruity and vinous character."
166,Beer,"Victory Brewing Company Sour Monkey","Brettanomyces, Sour","A sour ale variation of Victory's Golden Monkey, featuring tart fruit flavors and funky Brettanomyces notes."
167,Beer,"The Bruery Terreux Frucht: Boysenberry","Boysenberry","A Berliner Weisse-style ale brewed with boysenberries, offering a vibrant and refreshing fruity taste."
